date, pm10, o3, no2, so2, co
2018/12/27, 8, 7, 9, 1, 
2018/12/28, 10, 9, 10, 1, 
2018/12/29, 12, 11, 8, 1, 
2018/12/30, 12, , , , 
2018/7/2, 20, 41, 7, , 
2018/7/3, 19, 45, 8, 1, 
2018/7/4, 19, 46, 8, 1, 
2018/7/5, 14, 37, 5, , 
2018/7/6, 14, 45, 5, 1, 
2018/7/7, 17, 40, 5, 1, 
2018/7/8, 14, 44, 4, 1, 
2018/7/9, 15, 49, 8, , 
2018/7/10, 18, 54, 7, , 
2018/7/11, 19, 48, 6, , 
2018/7/12, 17, 55, 8, , 
2018/7/13, 18, 53, 10, 1, 
2018/7/15, 21, 50, 6, , 
2018/7/16, 19, 40, 4, , 
2018/7/17, 12, 41, 4, , 
2018/7/18, 13, 45, 8, , 
2018/7/19, 18, 50, 10, , 
2018/7/20, 16, 45, 6, , 
2018/7/21, 14, 34, 3, , 
2018/7/22, 7, 36, 4, , 
2018/7/23, 11, 43, 7, 1, 
2018/7/24, 16, 45, 6, 1, 
2018/7/25, 18, 43, 7, 1, 
2018/7/26, 19, 55, 9, 1, 
2018/7/27, 18, 46, 8, , 
2018/7/28, 18, 46, 7, , 
2018/7/29, 18, 44, 4, , 
2018/7/30, 20, 44, 7, , 
2018/7/31, 20, 43, 7, 1, 
2018/8/1, 20, 43, 7, 1, 
2018/8/2, 18, 45, 8, 1, 
2018/8/3, 19, 48, 8, 1, 
2018/8/4, 19, 55, 8, 1, 
2018/8/5, 16, 52, 5, 1, 
2018/8/6, 20, 55, 7, 1, 
2018/8/7, 24, 50, 6, 1, 
2018/8/8, 23, 40, 6, , 
2018/8/9, 19, 40, 7, , 
2018/8/10, 13, 33, 4, 1, 
2018/8/11, 12, 38, 6, , 
2018/8/12, 15, 38, 4, , 
2018/8/13, 11, 43, 6, , 
2018/8/14, 8, 31, 4, , 
2018/8/15, 7, 34, 3, , 
2018/8/16, 11, 36, 7, , 
2018/8/17, 13, 35, 5, , 
2018/8/18, 8, 34, 5, 1, 
2018/8/19, 8, 38, 8, , 
2018/8/20, 11, 40, 9, 1, 
2018/8/21, 15, 46, 7, 1, 
2018/8/22, 18, 47, 8, 1, 
2018/8/23, 17, 44, 7, 1, 
2018/8/24, 13, 29, 4, , 
2018/8/25, 12, 29, 3, , 
2018/8/26, 11, 30, 4, 1, 
2018/8/27, 13, 35, 6, 1, 
2018/8/28, 18, 37, 7, 1, 
2018/8/29, 18, 43, 8, , 
2018/8/30, 14, 36, 4, , 
2018/8/31, 13, 39, 6, 1, 
2018/9/1, 13, 34, 5, , 
2018/9/2, 12, 36, 4, 1, 
2018/9/3, 16, 33, 7, , 
2018/9/4, 19, 39, 8, , 
2018/9/5, 19, 36, 5, , 
2018/9/8, 18, 40, 7, 1, 
2018/9/12, 20, 30, 7, , 
2018/9/13, 20, 31, 8, , 
2018/9/14, 17, 30, 7, , 
2018/9/15, 17, 27, 5, , 
2018/9/16, 14, 37, 5, 1, 
2018/9/17, 14, 36, 7, 1, 
2018/9/18, 20, 35, 8, 1, 
2018/9/19, 22, 36, 9, 1, 
2018/9/20, 25, 40, 10, 1, 
2018/9/21, 26, 37, 11, 1, 
2018/9/22, 19, 30, 7, , 
2018/9/23, 16, 30, 12, , 
2018/9/24, 17, 26, 5, 1, 
2018/9/25, 18, 27, 9, 1, 
2018/9/26, 25, 41, 10, 1, 
2018/9/27, 25, 44, 10, , 
2018/9/28, 28, 41, 17, 1, 
2018/9/29, 28, 43, 10, 1, 
2018/9/30, 20, 38, 7, , 
2018/4/1, 11, 39, 8, 1, 
2018/4/2, 11, 33, 13, 1, 
2018/4/3, 17, 31, 10, 1, 
2018/4/4, 20, 33, 11, , 
2018/4/5, 12, 32, 13, , 
2018/4/6, 15, 32, 7, , 
2018/4/7, 16, 30, 5, , 
2018/4/8, 16, 31, 13, , 
2018/4/9, 9, 24, 14, , 
2018/4/10, 9, 34, 10, , 
2018/4/11, 5, 33, 12, , 
2018/4/12, 4, 26, 16, , 
2018/4/13, 8, 23, 12, , 
2018/4/14, 9, 33, 8, , 
2018/4/16, 10, 34, 10, , 
2018/4/17, 10, 42, 11, , 
2018/4/18, 17, 42, 14, , 
2018/4/19, 29, 38, 11, , 
2018/4/20, 33, 37, 8, 1, 
2018/4/21, 41, 35, 8, , 
2018/4/22, 36, 23, 14, 1, 
2018/4/24, 37, 40, 13, 1, 
2018/4/25, 36, 30, 6, , 
2018/4/26, 27, 35, 9, 1, 
2018/4/27, 24, 37, 6, , 
2018/4/28, 26, 35, 5, , 
2018/4/29, 16, 38, 5, , 
2018/4/30, 8, 37, 4, , 
2018/5/1, 9, 33, 6, , 
2018/5/2, 10, 31, 4, , 
2018/5/3, 13, 34, 5, , 
2018/5/4, 13, 35, 8, , 
2018/5/5, 17, 35, 8, , 
2018/5/6, 19, 31, 11, , 
2018/5/7, 18, 40, 10, , 
2018/5/8, 18, 33, 6, , 
2018/5/9, 16, 36, 6, , 
2018/5/10, 14, 42, 6, 1, 
2018/5/11, 15, 35, 6, , 
2018/5/12, 16, 35, 2, , 
2018/5/13, 10, 33, 4, , 
2018/5/14, 8, 36, 5, , 
2018/5/15, 9, 44, 5, 1, 
2018/5/16, 13, 41, 7, 1, 
2018/5/17, 15, 44, 9, 1, 
2018/5/18, 18, 45, 7, , 
2018/5/19, 14, 40, 5, , 
2018/5/20, 11, 47, 7, , 
2018/5/21, 13, 42, 7, , 
2018/5/22, 16, 43, 8, 1, 
2018/5/23, 15, 47, 9, 1, 
2018/5/24, 19, 44, 12, , 
2018/5/25, 17, 38, 7, , 
2018/5/26, 19, 37, 4, , 
2018/5/27, 19, 28, 10, , 
2018/5/28, 16, 36, 7, , 
2018/5/29, 15, 33, 9, , 
2018/5/30, 15, 41, 7, , 
2018/5/31, 11, 42, 7, , 
2018/6/1, 12, 43, 9, , 
2018/6/2, 14, 32, 6, , 
2018/6/3, 11, 36, 7, , 
2018/6/4, 11, 29, 7, , 
2018/6/7, 10, 38, 8, 1, 
2018/6/8, 12, 39, 9, , 
2018/6/9, 16, 20, 6, , 
2018/6/10, 15, 34, 6, , 
2018/6/11, 14, 37, 5, , 
2018/6/12, 12, 34, 5, , 
2018/6/13, 19, 38, 5, , 
2018/6/14, 15, 39, 6, 1, 
2018/6/15, 16, 25, 4, 1, 
2018/6/16, 14, 32, 3, , 
2018/6/17, 10, 36, 5, 1, 
2018/6/18, 14, 37, 6, 1, 
2018/6/19, 14, 52, 11, 1, 
2018/6/20, 20, 50, 11, 1, 
2018/6/21, 23, 43, 9, , 
2018/6/22, 20, 43, 8, , 
2018/6/23, 19, 41, 6, 1, 
2018/6/24, 25, 43, 7, 1, 
2018/6/25, 17, 43, 7, 1, 
2018/6/26, 17, 47, 7, 1, 
2018/6/27, 18, 38, 8, 1, 
2018/6/28, 20, 45, 8, 1, 
2018/6/29, 17, 45, 9, 1, 
2018/6/30, 18, 31, 7, , 
2018/1/1, 15, 23, 8, , 
2018/1/2, 10, 18, 12, , 
2018/1/3, 9, 17, 6, , 
2018/1/4, 8, 14, 16, , 
2018/1/5, 11, 14, 9, , 
2018/1/6, 17, 12, 12, , 
2018/1/7, 10, 8, 8, , 
2018/1/8, 12, 6, 11, , 
2018/1/9, 36, 3, 15, , 
2018/1/10, 32, 25, 6, , 
2018/1/11, 18, 15, 13, , 
2018/1/12, 9, 8, 15, , 
2018/1/13, 17, 17, 5, , 
2018/1/14, 11, 8, 12, , 
2018/1/15, 12, 21, 14, , 
2018/1/16, 20, 22, 2, , 
2018/1/17, 13, 13, 18, , 
2018/1/18, 18, 9, 15, , 
2018/1/19, 29, 24, 7, , 
2018/1/20, 20, 21, 1, , 
2018/1/21, 8, 17, 4, , 
2018/1/22, 30, 8, 11, , 
2018/1/23, 25, 5, 18, , 
2018/1/24, 29, 12, 11, , 
2018/1/25, 36, 13, 8, , 
2018/1/26, 18, , , , 
2018/1/29, 27, 5, 17, , 
2018/1/30, 29, 2, 11, , 
2018/1/31, 35, 3, 13, , 
2018/2/1, 21, 19, 10, , 
2018/2/2, 14, 23, 3, , 
2018/2/3, 7, 14, 8, , 
2018/2/4, 7, 18, 13, , 
2018/2/5, 5, 15, 8, , 
2018/2/6, 8, 22, 7, , 
2018/2/7, 8, 12, 17, , 
2018/2/8, 12, 15, 15, , 
2018/2/9, 25, 24, 12, , 
2018/2/10, 17, 18, 8, , 
2018/2/11, 11, 24, 5, , 
2018/2/12, 9, 16, 13, 1, 
2018/2/13, 11, 9, 15, 1, 
2018/2/14, 18, 12, 18, 1, 
2018/2/15, 29, 4, 17, 2, 
2018/2/16, 30, 24, 8, 1, 
2018/2/17, 27, 25, 6, 1, 
2018/2/18, 11, 22, 12, 1, 
2018/2/19, 10, 24, 9, 1, 
2018/2/20, 18, 24, 11, 1, 
2018/2/21, 13, 26, 11, 1, 
2018/2/22, 16, 27, 12, 1, 
2018/2/23, 20, 28, 19, 1, 
2018/2/24, 28, 28, 13, 1, 
2018/2/25, 34, 29, 14, 1, 
2018/2/26, 24, 25, 11, 1, 
2018/2/27, 18, 24, 8, , 
2018/2/28, 10, 21, 10, 1, 
2018/3/1, 7, 29, 11, 1, 
2018/3/2, 10, 31, 12, 1, 
2018/3/3, 9, 24, 10, 1, 
2018/3/4, 12, 26, 11, 1, 
2018/3/5, 12, 28, 11, 1, 
2018/3/6, 9, 30, 12, 1, 
2018/3/7, 10, 26, 14, 1, 
2018/3/8, 14, 21, 15, 2, 
2018/3/9, 20, 21, 12, 1, 
2018/3/10, 17, 30, 7, , 
2018/3/11, 10, 31, 9, , 
2018/3/12, 8, 27, 16, 1, 
2018/3/13, 15, 23, 15, 1, 
2018/3/14, 22, 32, 11, 1, 
2018/3/15, 11, 32, 10, 1, 
2018/3/16, 9, 26, 8, 1, 
2018/3/17, 8, 35, 3, , 
2018/3/18, 6, 28, 8, 1, 
2018/3/19, 6, 31, 6, 1, 
2018/3/20, 7, 33, 7, , 
2018/3/21, 11, 32, 7, , 
2018/3/22, 12, 33, 11, 1, 
2018/3/23, 14, 29, 12, 1, 
2018/3/24, 10, 29, 7, 1, 
2018/3/25, 8, 33, 6, 1, 
2018/3/26, 10, 25, 5, 1, 
2018/3/27, 10, 27, 14, 1, 
2018/3/28, 13, 32, 10, 1, 
2018/3/29, 16, 41, 9, 1, 
2018/3/30, 13, 37, 3, 1, 
2018/3/31, 10, 35, 6, 1, 
2017/10/1, 22, 16, 11, , 
2017/10/2, 16, 13, 7, , 
2017/10/3, 19, 23, 9, , 
2017/10/4, 21, 27, 14, , 
2017/10/5, 24, 25, 6, , 
2017/10/6, 28, 30, 6, , 
2017/10/7, 22, 29, 9, , 
2017/10/8, 21, 23, 17, , 
2017/10/9, 32, 25, 15, , 
2017/10/10, 43, 29, 15, , 
2017/10/11, 43, 33, 10, , 
2017/10/12, 31, 30, 14, , 
2017/10/13, 32, 27, 9, , 
2017/10/14, 33, 27, 6, , 
2017/10/15, 21, 32, 10, , 
2017/10/16, 25, 30, 11, , 
2017/10/17, 30, 21, 13, , 
2017/10/18, 26, 13, 9, , 
2017/10/19, 13, 20, 12, , 
2017/10/20, 12, 21, 9, , 
2017/10/21, 18, 27, 4, , 
2017/10/22, 12, 21, 13, , 
2017/10/23, 12, 19, 18, , 
2017/10/24, 24, 11, 22, , 
2017/10/25, 36, 25, 20, , 
2017/10/26, 38, 22, 12, , 
2017/10/27, 39, 22, 11, , 
2017/10/28, 34, 22, 8, , 
2017/10/29, 21, 24, 12, , 
2017/10/30, 21, 24, 16, , 
2017/10/31, 26, 19, 12, , 
2017/11/1, 32, 16, 17, , 
2017/11/2, 26, 19, 16, , 
2017/11/3, 33, 20, 10, , 
2017/11/4, 31, 28, 3, , 
2017/11/5, 11, 20, 10, , 
2017/11/6, 8, 20, 15, , 
2017/11/7, 13, 22, 14, , 
2017/11/8, 30, 22, 10, , 
2017/11/9, 15, 17, 20, , 
2017/11/10, 23, 13, 16, , 
2017/11/11, 38, 25, 5, , 
2017/11/12, 19, 31, 8, , 
2017/11/13, 22, 19, 16, , 
2017/11/14, 22, 15, 21, , 
2017/11/15, 44, 12, 26, , 
2017/11/16, 53, 10, 27, , 
2017/11/17, 58, 10, 23, , 
2017/11/18, 63, 9, 18, , 
2017/11/19, 50, 7, 22, , 
2017/11/20, 41, 11, 25, , 
2017/11/21, 57, , , , 
2017/11/23, 59, 4, 49, , 
2017/11/24, 69, 21, 16, , 
2017/11/25, 71, 23, 10, , 
2017/11/26, 20, 14, 18, , 
2017/11/27, 19, 9, 21, , 
2017/11/28, 45, 13, 21, , 
2017/11/29, 50, 18, 13, , 
2017/11/30, 34, 21, 13, , 
2017/12/1, 17, 24, 8, , 
2017/12/2, 11, 21, 9, , 
2017/12/3, 11, 9, 24, , 
2017/12/4, 24, 6, 26, , 
2017/12/5, 46, 5, 25, , 
2017/12/6, 48, 1, 28, , 
2017/12/7, 58, 2, 22, , 
2017/12/8, 63, 5, 20, , 
2017/12/9, 47, 5, 19, , 
2017/12/10, 24, 19, 16, , 
2017/12/11, 12, 20, 14, , 
2017/12/12, 9, 4, 22, , 
2017/12/13, 26, 4, 24, , 
2017/12/14, 39, 27, 13, , 
2017/12/15, 23, 21, 9, , 
2017/12/16, 8, 17, 15, , 
2017/12/17, 10, 8, 20, , 
2017/12/18, 19, 4, 20, , 
2017/12/19, 28, 2, 17, , 
2017/12/20, 28, 1, 16, , 
2017/12/21, 24, , 22, , 
2017/12/22, 37, , 16, , 
2017/12/23, 39, 2, 12, , 
2017/12/24, 17, , , , 
2017/12/27, 8, 19, 16, , 
2017/12/28, 7, 8, 20, , 
2017/12/29, 14, 12, 23, , 
2017/12/30, 22, , , , 
2017/7/1, 12, 29, 2, , 
2017/7/2, 10, 31, 3, , 
2017/7/3, 12, 34, 8, , 
2017/7/4, 20, 41, 10, , 
2017/7/5, 22, 31, 11, , 
2017/7/6, 25, 37, 16, , 
2017/7/7, 41, 23, 10, , 
2017/7/8, 45, 27, 10, , 
2017/7/9, 13, 46, 5, , 
2017/7/10, 16, 40, 6, , 
2017/7/11, 18, 40, 9, , 
2017/7/12, 24, 36, 7, , 
2017/7/13, 24, 34, 10, , 
2017/7/14, 21, 39, 6, , 
2017/7/15, 20, 41, 6, , 
2017/7/16, 24, 40, 9, , 
2017/7/17, 22, 41, 7, , 
2017/7/18, 23, 34, 9, , 
2017/7/19, 24, 36, 8, , 
2017/7/20, 24, 39, 9, , 
2017/7/21, 23, 38, 8, , 
2017/7/22, 21, 40, 5, , 
2017/7/23, 22, 27, , , 
2017/7/24, 16, 29, , , 
2017/7/25, 14, 30, 8, , 
2017/7/26, 14, 32, 11, , 
2017/7/27, 21, 32, 8, , 
2017/7/28, 26, 39, 8, , 
2017/7/29, 22, 40, 6, , 
2017/7/30, 19, 44, 10, , 
2017/7/31, 22, 28, 9, , 
2017/8/1, 30, 36, 10, , 
2017/8/2, 39, 34, 12, , 
2017/8/3, 44, 38, 12, , 
2017/8/4, 43, 34, 8, , 
2017/8/5, 38, 31, 2, , 
2017/8/6, 23, 33, 7, , 
2017/8/7, 18, 33, 5, , 
2017/8/8, 23, 22, 6, , 
2017/8/9, 19, 30, 5, , 
2017/8/10, 11, 32, 4, , 
2017/8/11, 15, 36, 7, , 
2017/8/12, 18, 37, 5, , 
2017/8/13, 19, 37, 7, , 
2017/8/14, 16, 41, 5, , 
2017/8/15, 20, 36, 7, , 
2017/8/16, 32, 36, 7, , 
2017/8/17, 57, 39, 6, , 
2017/8/18, 55, 34, 3, , 
2017/8/19, 27, 33, 3, , 
2017/8/20, 17, 37, 6, , 
2017/8/21, 23, 35, 6, , 
2017/8/22, 25, 38, 7, , 
2017/8/23, 25, 38, 9, , 
2017/8/24, 23, 33, 9, , 
2017/8/25, 20, 40, 7, , 
2017/8/26, 21, 34, 5, , 
2017/8/27, 23, 35, 8, , 
2017/8/28, 22, 24, 7, , 
2017/8/29, 23, 37, 6, , 
2017/8/30, 14, 32, 5, , 
2017/8/31, 12, 33, 4, , 
2017/9/1, 11, 30, 3, , 
2017/9/2, 11, 28, 7, , 
2017/9/3, 13, 37, 11, , 
2017/9/4, 19, 39, 8, , 
2017/9/5, 20, , , , 
2017/9/10, 13, 26, 2, , 
2017/9/11, 13, 28, 5, , 
2017/9/12, 16, 31, 8, , 
2017/9/13, 23, 28, 7, , 
2017/9/14, 24, 19, 8, , 
2017/9/15, 18, 22, 6, , 
2017/9/16, 8, 28, 8, , 
2017/9/17, 9, 28, 9, , 
2017/9/18, 12, 30, 6, , 
2017/9/19, 11, 29, 14, , 
2017/9/20, 18, 36, 11, , 
2017/9/21, 29, 21, 13, , 
2017/9/22, 24, 34, 10, , 
2017/9/23, 17, 34, 10, , 
2017/9/24, 18, 33, 9, , 
2017/9/25, 23, 28, 6, , 
2017/9/26, 17, 16, 8, , 
2017/9/27, 15, 34, 11, , 
2017/9/28, 24, 34, 6, , 
2017/9/29, 23, 20, 12, , 
2017/9/30, 21, 4, 12, , 
2017/4/1, 14, 32, 3, , 
2017/4/2, 8, 27, 8, , 
2017/4/3, 8, 34, 10, , 
2017/4/4, 17, 29, 10, , 
2017/4/5, 14, 26, 9, , 
2017/4/6, 13, 32, 11, , 
2017/4/7, 19, 39, 10, , 
2017/4/8, 21, 39, 7, , 
2017/4/9, 17, 38, 12, , 
2017/4/10, 22, 38, 11, , 
2017/4/11, 28, 41, 11, , 
2017/4/12, 20, 39, 10, , 
2017/4/13, 22, 38, 8, , 
2017/4/14, 26, 34, 4, , 
2017/4/15, 22, 34, 4, , 
2017/4/16, 13, 39, 5, , 
2017/4/17, 17, 37, 9, , 
2017/4/18, 23, 38, 5, , 
2017/4/19, 23, 41, 8, , 
2017/4/20, 21, 46, 9, , 
2017/4/21, 21, 47, 7, , 
2017/4/22, 21, 45, 7, , 
2017/4/23, 18, 35, 11, , 
2017/4/24, 18, 41, 9, , 
2017/4/25, 24, 26, 6, , 
2017/4/26, 17, 29, 7, , 
2017/4/27, 8, 41, 8, , 
2017/4/28, 9, 41, 8, , 
2017/4/29, 11, 35, 4, , 
2017/4/30, 10, 37, 2, , 
2017/5/1, 8, , , , 
2017/5/4, 18, 34, 9, , 
2017/5/5, 21, 35, 4, , 
2017/5/6, 20, 36, 4, , 
2017/5/7, 10, 37, 7, , 
2017/5/8, 13, 46, 10, , 
2017/5/9, 20, 41, 8, , 
2017/5/10, 20, 25, 4, , 
2017/5/11, 20, 35, 5, , 
2017/5/13, 9, 37, 5, , 
2017/5/14, 10, 40, 7, , 
2017/5/15, 13, 42, 8, , 
2017/5/16, 17, 39, 9, , 
2017/5/17, 20, 26, 8, , 
2017/5/18, 19, 26, 4, , 
2017/5/19, 13, 28, 6, , 
2017/5/20, 12, 38, 4, , 
2017/5/21, 12, 39, 7, , 
2017/5/22, 16, 41, 8, , 
2017/5/23, 19, 44, 8, , 
2017/5/24, 21, 33, 8, , 
2017/5/25, 23, 37, 10, , 
2017/5/26, 27, 47, 7, , 
2017/5/27, 26, 50, 5, , 
2017/5/28, 20, 41, 10, , 
2017/5/29, 20, 49, 9, , 
2017/5/30, 26, 48, 6, , 
2017/5/31, 22, 39, 9, , 
2017/6/1, 26, 43, 9, , 
2017/6/2, 30, 35, 7, , 
2017/6/3, 25, 22, 6, , 
2017/6/4, 13, 30, 4, , 
2017/6/5, 9, 32, 6, , 
2017/6/6, 13, 38, 4, , 
2017/6/7, 16, 35, 6, , 
2017/6/8, 22, 34, 8, , 
2017/6/9, 22, 42, 9, , 
2017/6/10, 18, 44, 6, , 
2017/6/11, 17, 38, 8, , 
2017/6/12, 18, 42, 10, , 
2017/6/13, 23, 45, 8, , 
2017/6/14, 24, 48, 9, , 
2017/6/15, 28, 48, 6, , 
2017/6/16, 29, 50, 8, , 
2017/6/17, 26, 46, 6, , 
2017/6/18, 24, 51, 8, , 
2017/6/19, 21, 45, 8, , 
2017/6/20, 26, 53, 9, , 
2017/6/21, 30, 47, 11, , 
2017/6/22, 30, 47, 9, , 
2017/6/23, 26, 48, 5, , 
2017/6/24, 31, 38, 4, , 
2017/6/25, 22, 39, 9, , 
2017/6/26, 18, 40, 10, , 
2017/6/27, 19, 33, 5, , 
2017/6/28, 14, 31, 5, , 
2017/6/29, 10, 30, 4, , 
2017/6/30, 12, 28, 2, , 
2017/1/2, 10, 9, 5, , 
2017/1/3, 12, 9, 12, , 
2017/1/4, 16, 6, 10, , 
2017/1/5, 17, 5, 9, , 
2017/1/6, 25, 2, 9, , 
2017/1/7, 30, 2, 11, , 
2017/1/8, 26, 2, 13, , 
2017/1/9, 24, 14, 12, , 
2017/1/10, 18, 8, 16, , 
2017/1/11, 19, 5, 15, , 
2017/1/12, 25, 25, 4, , 
2017/1/13, 19, 21, 7, , 
2017/1/14, 9, 23, 3, , 
2017/1/15, 5, 20, 8, , 
2017/1/16, 9, 25, 9, , 
2017/1/17, 11, 15, 11, , 
2017/1/18, 16, 6, 17, , 
2017/1/19, 24, 17, 12, , 
2017/1/20, 26, 7, 18, , 
2017/1/21, 16, 6, 14, , 
2017/1/22, 23, 8, 17, , 
2017/1/23, 25, 13, 17, , 
2017/1/24, 19, 15, 15, , 
2017/1/25, 19, 13, 15, , 
2017/1/26, 19, 14, 16, , 
2017/1/27, 17, 14, 10, , 
2017/1/28, 9, 11, 13, , 
2017/1/29, 11, 8, 17, , 
2017/1/30, 20, 4, 15, , 
2017/1/31, 27, 5, 14, , 
2017/2/1, 33, 1, 16, , 
2017/2/2, 22, 6, 17, , 
2017/2/3, 17, 15, 13, , 
2017/2/4, 14, 32, 4, , 
2017/2/5, 10, 29, 2, , 
2017/2/6, 8, 19, 6, , 
2017/2/7, 9, 29, 3, , 
2017/2/8, 8, 23, 11, , 
2017/2/9, 9, 18, 14, , 
2017/2/10, 18, 17, 10, , 
2017/2/11, 20, 26, 3, , 
2017/2/12, 17, 28, 10, , 
2017/2/13, 30, 14, 17, , 
2017/2/14, 24, 13, 21, , 
2017/2/15, 26, 8, 20, , 
2017/2/16, 31, 7, 18, , 
2017/2/17, 28, 4, 16, , 
2017/2/18, 23, 14, 12, , 
2017/2/19, 18, 14, 19, , 
2017/2/20, 21, 6, 19, , 
2017/2/21, 28, 3, 23, , 
2017/2/22, 35, 1, 22, , 
2017/2/23, 40, 13, 17, , 
2017/2/24, 44, 22, 14, , 
2017/2/25, 17, 24, 18, , 
2017/2/26, 21, 14, 24, , 
2017/2/27, 26, 26, 12, , 
2017/2/28, 23, 25, 17, , 
2017/3/1, 19, 20, 22, , 
2017/3/2, 28, 26, 11, , 
2017/3/3, 27, 29, 5, , 
2017/3/4, 14, 22, 7, , 
2017/3/5, 9, 30, 7, , 
2017/3/6, 10, 31, 3, , 
2017/3/7, 15, 22, 10, , 
2017/3/8, 11, 16, 18, , 
2017/3/9, 25, 21, 16, , 
2017/3/10, 35, 26, 17, , 
2017/3/11, 39, 31, 6, , 
2017/3/12, 30, 19, 8, , 
2017/3/13, 11, 20, 13, , 
2017/3/14, 21, 23, 13, , 
2017/3/15, 26, 28, 14, , 
2017/3/16, 32, 29, 15, , 
2017/3/17, 29, 28, 13, , 
2017/3/18, 34, 30, 11, , 
2017/3/19, 30, 24, 13, , 
2017/3/20, 28, 18, 10, , 
2017/3/21, 29, 26, 10, , 
2017/3/22, 20, 28, 8, , 
2017/3/23, 20, 23, 13, , 
2017/3/24, 18, , , , 
2017/3/27, 16, 25, 11, , 
2017/3/28, 17, 23, 15, , 
2017/3/29, 17, 30, 11, , 
2017/3/30, 18, 27, 12, , 
2017/3/31, 16, 34, 4, , 
2016/10/1, 25, 29, 7, , 
2016/10/2, 24, 26, 12, , 
2016/10/3, 25, 22, 13, , 
2016/10/4, 31, 31, 9, , 
2016/10/5, 38, 20, 14, , 
2016/10/6, 30, 19, 21, , 
2016/10/7, 20, 10, 14, , 
2016/10/8, 29, , , , 
2016/10/10, 19, 20, 22, , 
2016/10/11, 33, 23, 9, , 
2016/10/12, 33, 19, 16, , 
2016/10/13, 11, 18, 11, , 
2016/10/14, 12, 24, 18, , 
2016/10/15, 14, 24, 13, , 
2016/10/16, 16, 14, 17, , 
2016/10/17, 17, 15, 20, , 
2016/10/18, 22, 15, 19, , 
2016/10/19, 25, 23, 18, , 
2016/10/20, 22, 26, 19, , 
2016/10/21, 20, 20, 14, , 
2016/10/22, 21, 21, 10, , 
2016/10/23, 15, 13, 19, , 
2016/10/24, 19, 7, 20, , 
2016/10/25, 23, 7, 16, , 
2016/10/26, 34, 12, 17, , 
2016/10/27, 31, 17, 23, , 
2016/10/28, 28, 9, 14, , 
2016/10/29, 26, 6, 10, , 
2016/10/30, 13, 15, 18, , 
2016/10/31, 17, , , , 
2016/11/3, 18, 1, 13, , 
2016/11/4, 24, 14, 12, , 
2016/11/5, 24, 29, 5, , 
2016/11/6, 9, 26, 9, , 
2016/11/7, 6, 24, 7, , 
2016/11/8, 9, 28, 6, , 
2016/11/9, 11, 24, 8, , 
2016/11/10, 11, 23, 9, , 
2016/11/11, 12, 20, 12, , 
2016/11/12, 16, 18, 10, , 
2016/11/13, 23, 18, 13, , 
2016/11/14, 18, 17, 14, , 
2016/11/15, 26, 7, 15, , 
2016/11/16, 41, 7, 20, , 
2016/11/17, 51, 3, 19, , 
2016/11/18, 47, 8, 15, , 
2016/11/21, 16, 9, 15, , 
2016/11/22, 11, 13, 12, , 
2016/11/23, 12, 18, 13, , 
2016/11/24, 8, 4, 13, , 
2016/11/25, 13, , , , 
2016/11/28, 12, 3, 15, , 
2016/11/29, 22, 15, 17, , 
2016/11/30, 28, 4, 11, , 
2016/12/1, 26, 1, 11, , 
2016/12/2, 31, , , , 
2016/12/5, 18, 8, 9, , 
2016/12/6, 28, 4, 12, , 
2016/12/7, 26, 6, 9, , 
2016/12/8, 20, 7, 10, , 
2016/12/9, 14, 2, 9, , 
2016/12/10, 15, 4, 7, , 
2016/12/11, 11, 6, 8, , 
2016/12/12, 9, 3, 8, , 
2016/12/13, 14, 2, 11, , 
2016/12/14, 21, 2, 10, , 
2016/12/15, 21, 4, 17, , 
2016/12/16, 24, 19, 16, , 
2016/12/17, 16, 7, 10, , 
2016/12/18, 21, 5, 10, , 
2016/12/19, 13, 4, 12, , 
2016/12/20, 18, 4, 10, , 
2016/12/21, 20, 1, 13, , 
2016/12/22, 24, 2, 10, , 
2016/12/23, 25, 5, 9, , 
2016/12/24, 15, 6, 6, , 
2016/12/25, 9, 6, 6, , 
2016/12/26, 7, 3, 7, , 
2016/12/27, 8, 2, 9, , 
2016/12/28, 11, 6, 6, , 
2016/12/29, 11, 3, 9, , 
2016/12/30, 16, 4, 8, , 
2016/12/31, 19, 12, 5, , 
2017/1/1, 10, 8, 8, , 
2016/7/1, 33, 39, 4, , 
2016/7/2, 30, 34, 2, , 
2016/7/3, 19, 33, 6, , 
2016/7/4, 24, 41, 4, , 
2016/7/5, 22, 39, 5, , 
2016/7/6, 22, 42, 9, , 
2016/7/7, 29, 47, 7, , 
2016/7/8, 31, 46, 6, , 
2016/7/9, 32, 52, 5, , 
2016/7/10, 27, 43, 6, , 
2016/7/11, 29, 31, 4, , 
2016/7/12, 27, 33, 3, , 
2016/7/13, 23, 30, 3, , 
2016/7/14, 23, 38, 3, , 
2016/7/15, 20, 45, 5, , 
2016/7/16, 26, 45, 5, , 
2016/7/17, 22, 50, 7, , 
2016/7/18, 25, 44, 8, , 
2016/7/19, 31, 31, 10, , 
2016/7/20, 40, 39, 6, , 
2016/7/21, 52, 36, 5, , 
2016/7/22, 40, 34, 3, , 
2016/7/23, 23, 29, 3, , 
2016/7/24, 13, 40, 5, , 
2016/7/25, 18, 37, 6, , 
2016/7/26, 24, 36, 5, , 
2016/7/27, 33, 39, 5, , 
2016/7/28, 26, 41, 6, , 
